post_id,user_id,user_name,user_gender,user_age,followers_count,following_count,account_creation_date,is_verified,location,topic,post_content,content_length,hashtags,has_media,post_date,device,language,likes,comments,shares,engagement_rate
b74593f8-dd0f-4f89-87b6-dbb732ee41f1,65502997-ec46-4da1-8b32-9472d3e6d5e1,morgansharon,Other,49,59795,4290,29-08-2015,FALSE,Bursa,Technology,Kind task especially perhaps list stop production official police gun already window board member may low feeling certainly. Finish even decide approach risk.,158,#gadgets,TRUE,24-02-2025,Android,de,2970,442,109,0.0589
1b6e726b-bf56-42b8-8988-f7758673184c,b60a836d-9d73-4d3f-b7fc-9f728b6f0778,longshane,Male,50,22335,217,04-12-2020,FALSE,Ankara,Travel,Natural water character from PM such painting seem clear either size admit hundred real. Poor because buy provide partner.,122,#vacationvibes #wanderlust,TRUE,14-01-2025,Web,de,1140,147,15,0.0583
4c676e93-8489-4f10-841d-cbff91835749,2ce68634-7873-4971-95cf-675e63d218ba,braysteven,Female,53,2672,4025,29-07-2017,FALSE,London,Art,National bag chair eat tax investment fill front only explain themselves me condition ask might. Soon Mr year if term adult suggest staff.,138,#digitalart,TRUE,05-04-2024,Android,tr,120,8,11,0.052
ac250f31-3e05-4580-b87f-35733950a8ea,2a075e18-3090-4b04-a4a3-5646dfa784be,kimberly93,Other,53,5268,8803,01-04-2019,FALSE,Antalya,Pets,Before spring he cultural seek bank risk east. Budget husband financial.,72,#catlife #adoptdontshop #dogsoftwitter #petlover,FALSE,02-01-2025,Tablet,de,268,25,13,0.0581
6a1af857-4182-4da3-896b-5232713cdb62,3a30c3b8-8658-4a33-b5ca-01a309d4fa12,ashleygamble,Female,42,1387,2986,15-11-2016,FALSE,Ankara,Education,Interest statement dream central require politics measure apply around clear yourself cut organization nearly or. Treatment anyone become everybody voice decide try little.,172,#knowledge #students,FALSE,04-05-2024,iPhone,de,79,11,2,0.0663
10e6f7cb-a7db-4c27-9e1f-b1c0d37eae8e,a6a10e09-bc3c-4363-83f5-ff9e1c8d21a2,campbellnancy,Male,45,35657,186,03-03-2022,FALSE,Antalya,Travel,Blood ready section operation level present increase sit bit piece hold until set vote raise pattern seem. Return election ok.,126,#wanderlust,FALSE,08-07-2024,Web,fr,1739,214,34,0.0557
d106d876-f428-4956-ad06-e44df48cf04c,f17b3c1f-060c-473f-8034-d228bcd1ae78,karen10,Male,45,26109,3852,14-04-2016,FALSE,Izmir,Fashion,Start forget half act build deal join development morning relationship against two newspaper put student. Seat likely single out argue dinner born.,147,#fashionista #style #lookbook #ootd,TRUE,28-08-2024,iPhone,es,1284,159,68,0.0579
7294b6a4-b57f-4ead-89a9-c7d1d6d11003,a734fd5c-e094-4a2b-8d5b-0744938984b5,wallaceryan,Other,29,9663,8164,10-09-2019,FALSE,London,Gaming,Interview need mention single like strong candidate dark other serve plant his. Make building cup fund dinner language information.,131,#gaming,TRUE,18-02-2025,Tablet,tr,479,55,38,0.0592
37231198-b483-48d2-ac6a-7215a8e4a082,3183c936-49f6-4189-afc6-446c7a6247f3,riverajessica,Other,37,88840,6338,05-08-2019,FALSE,Izmir,Books,Tonight according sometimes natural purpose respond hand goal term matter address prepare protect. Create should degree house control.,134,#literature,TRUE,03-02-2025,Web,fr,4463,632,114,0.0586
3ab37aa2-5e5b-4221-847c-be2df88f2c82,931e9055-146c-42e3-bde2-904ecda96b7e,thomasdonald,Male,39,38135,5481,21-05-2019,FALSE,New York,Books,Hospital also year own shake necessary. Employee project after song radio ground join.,86,#literature #bookworm #reading #readmore,TRUE,13-12-2024,Web,tr,1880,118,28,0.0531
7b95fcd5-e80d-4e8d-a5c4-13bb227a5607,d5348651-1db6-43a3-a55b-42c1d1d20ec4,thomas83,Female,53,56621,416,22-07-2017,FALSE,Izmir,Travel,Early sure trial half security there. Become area break image.,62,#vacationvibes #wanderlust #explore,FALSE,13-07-2024,Web,en,2824,166,213,0.0566
